"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1620246,0
2,0.122976,0
6,0.1121761,0
12,0.1042231,0
24,0.07349664,0
48,0.05279039,0
96,0.0365489,0
168,0.03588312,0
240,0.03333912,0
