"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,1.024621,0
2,0.8854888,0
6,0.7113981,0
12,0.5715342,0
24,0.2822957,0
48,0.0777759,0
72,0.03571222,0
96,0.01452017,0
