"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1083904,0
6,0.09147996,0
12,0.08262797,0
24,0.06627699,0
48,0.05138845,0
96,0.03660462,0.006230438
168,0.0330626,0
240,0.03037418,0
