"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.02144556,0
6,0.02577375,0
12,0.02774047,0
24,0.06115432,0
48,0.06582082,0
96,0.05182877,0
168,0.03862125,0
240,0.03588312,0
