"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
6,0.1042231,0
12,0.07486029,0.01591365
24,0.03588312,0.006569744
48,0.01354368,0.004166854
72,0.006143603,0.00297405
96,0.004025228,0.003663083
