"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.03615976,0.01380987
2,0.01861532,0.008457428
24,0.008506672,0.00275619
48,0.003223428,0.001006987
72,0.001200832,0.000696864
96,0.0004628437,0.0001552445
