"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
2,0.7915826,0.05932874
12,0.4318554,0.05909604
24,0.2376511,0.01484557
48,0.08706621,0
72,0.03359818,0.0002921028
96,0.01680985,0.004816311
