"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.05986375,0
6,0.06406633,0
12,0.03851548,0
24,0.02986332,0
48,0.01735444,0
96,0.01515231,0
168,0.01489746,0
240,0.01135661,0
