"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
12,0.02790437,0.00802775
24,0.01541151,0.002838262
48,0.003900859,0.0007719283
72,0.00167046,0.001096677
96,0.0005835985,0.0002444524
