"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.135131,0.02771848
12,0.05689374,0.006369583
24,0.04337113,0.01859082
48,0.0130071,0.005823311
72,0.00439264,0.001966596
96,0.00167046,0.0005586245
