"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1623051,0
6,0.1116787,0
12,0.05287462,0
24,0.03700545,0.01552204
48,0.01290331,0.004608256
72,0.004982152,0.002089777
96,0.001828069,0.001211945
