"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
2,0.03522948,0
6,0.03041123,0
12,0.03273181,0
24,0.01379496,0.004380318
48,0.008712038,0.002766333
72,0.003671726,0.00173003
96,0.001491601,0.0004003513
