"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1506892,0
12,0.06848831,0.01356888
24,0.04403881,0.01868113
48,0.01328274,0.004875421
72,0.004917913,0.002574424
96,0.001939417,0.0008226947
