"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1083904,0
12,0.07987192,0.01476464
24,0.07214317,0
48,0.05593685,0.008726944
96,0.05138845,0.01377383
168,0.03420346,0
240,0.02986332,0
