"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.9203732,0
2,0.8126619,0
6,0.6883952,0
12,0.6078323,0
24,0.473888,0
48,0.3931829,0
96,0.3262222,0
168,0.2763385,0
240,0.2596656,0
