"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
2,1.035232,0.05518835
12,0.6000611,0
24,0.474998,0
168,0.2925266,0
336,0.2356028,0.01953679
552,0.1582152,0.03319052
720,0.1138652,0.01029574
1440,0.03926313,0.01120387
