"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.001902301,0.0008043512
2,0.0007959777,0.0007256953
6,0.001205261,0.000700945
12,0.0007325966,0.0002282806
24,0.001393619,0.0004539541
48,0.0009203732,0.0003492146
96,0.0007479523,0.000152599
168,0.0006335805,0.0001497595
240,0.0004939622,0.000153921
