"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.0008642108,0.0001528127
2,0.001275363,0.000118238
6,0.001626551,0.0002876128
12,0.001,0.0001565558
24,0.0007289136,0.0001288891
48,0.0001693843,2.300052E-05
72,8.999644E-05,7.475245E-05
96,5.951794E-05,2.20255E-05
