"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,1.017107,0
12,0.6325648,0
24,0.4505835,0
48,0.3934082,0
96,0.3377109,0.08331555
168,0.2802295,0
240,0.2574432,0
