"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.01117015,0
12,0.01301975,0
24,0.01570122,0
48,0.01738985,0
96,0.01370199,0
168,0.0134707,0
240,0.0104348,0
