"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1241431,0
6,0.08262797,0
12,0.05986375,0
24,0.03420346,0.01531298
48,0.008227833,0.003023196
72,0.003523395,0.002249973
96,0.001295206,0.000489684
