"Time [h]","Measurement [µmol/l]","Error [µmol/l]"
1,0.1349388,0
2,0.118944,0
6,0.1328274,0
12,0.1032045,0
24,0.08954778,0
48,0.06741664,0
96,0.05667933,0
168,0.05238152,0
240,0.04134646,0
