"IndividualId","Time [min]","Organism|VenousBlood|Plasma|7E3|Concentration in container [µmol/l]"
0,3420,0.41599935
0,3435,0.41575083
0,3450,0.41550344
0,3465,0.41525722
0,3480,0.4150121
0,3495,0.41476807
0,3510,0.41452515
0,3525,0.41428328
0,3540,0.41404244
0,3555,0.41380265
0,3570,0.41356385
0,3585,0.41332603
0,3600,0.41308916
0,3615,0.41285324
0,3630,0.41261828
0,3645,0.4123842
0,3660,0.41215104
0,3675,0.41191873
0,3690,0.4116873
0,3705,0.41145673
0,3720,0.41122702
0,3735,0.41099808
0,3750,0.41076997
0,3765,0.41054264
0,3780,0.41031608
0,3795,0.4100903
0,3810,0.40986526
0,3825,0.40964094
0,3840,0.40941736
0,3855,0.40919447
0,3870,0.4089723
0,3885,0.4087508
0,3900,0.40853
0,3915,0.40830982
0,3930,0.40809032
0,3945,0.40787145
0,3960,0.4076532
0,3975,0.4074356
0,3990,0.40721858
0,4005,0.40700215
0,4020,0.40678632
0,4035,0.40657106
0,4050,0.40635636
0,4065,0.40614223
0,4080,0.40592867
0,4095,0.4057156
0,4110,0.40550312
0,4125,0.4052911
0,4140,0.40507963
0,4155,0.4048687
0,4170,0.4046582
0,4185,0.4044482
0,4200,0.40423873
0,4215,0.4040297
0,4230,0.40382114
0,4245,0.40361303
0,4260,0.4034054
0,4275,0.40319818
0,4290,0.4029914
0,4305,0.4027851
0,4320,0.40257916
0,4335,0.40237367
0,4350,0.4021686
0,4365,0.40196392
0,4380,0.40175965
0,4395,0.40155575
0,4410,0.40135226
0,4425,0.40114915
0,4440,0.4009464
0,4455,0.40074405
0,4470,0.40054205
0,4485,0.4003404
0,4500,0.40013912
0,4515,0.3999382
0,4530,0.3997376
0,4545,0.39953735
0,4560,0.39933744
0,4575,0.39913785
0,4590,0.3989386
0,4605,0.39873967
0,4620,0.39854103
0,4635,0.39834273
0,4650,0.39814472
0,4665,0.39794704
0,4680,0.39774963
0,4695,0.39755255
0,4710,0.39735574
0,4725,0.39715922
0,4740,0.396963
0,4755,0.39676705
0,4770,0.3965714
0,4785,0.39637598
0,4800,0.39618087
0,4815,0.39598602
0,4830,0.3957914
0,4845,0.39559707
0,4860,0.395403
0,4875,0.3952092
0,4890,0.39501563
0,4905,0.3948223
0,4920,0.3946292
0,4935,0.3944364
0,4950,0.3942438
0,4965,0.39405143
0,4980,0.39385933
0,4995,0.39366743
0,5010,0.39347577
0,5025,0.39328435
0,5040,0.39309314
