"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.0247256,0.0058
24,0.01027015,0.00225
48,0.00537475,0.0011
72,0.00518775,0.00035
96,0.0041134,0.0005
168,0.0024853,0.0004
