"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.037745,0.0107
24,0.01594975,0.0023
48,0.0140418,0.00155
72,0.00854485,0.0021
96,0.0124809,0.00315
168,0.00872015,0.0016
