"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.02238055,0.01485
24,0.0123059,0.00015
48,0.0065501,0.0007
72,0.0053073,0.00085
96,0.0051466,0.00235
168,0.0070813,0.002
