"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.01511105,0.00135
24,0.00578925,0.0011
48,0.0054313,0.00045
72,0.0034374,0.00095
96,0.0034559,0.0007
168,0.00292805,0.00015
