"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.00875065,0.0024
24,0.0049809,0.0024
48,0.0037171,0.00125
72,0.002394,0.00135
96,0.00092275,0.0007
168,0.00120135,0.00015
