"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.00714735,0.00035
24,0.00344815,0.0007
48,0.0023377,0.00045
72,0.00202125,0.0003
96,0.0013584,0.0003
168,0.0011198,5E-05
