"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.01491675,0.002325
24,0.00652695,0.000525
48,0.005222625,0.00045
72,0.0031725,0.001275
96,0.003432825,0.00075
168,0.0028515,7.5E-05
