"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.03835005,0.00425
24,0.0193699,0.0016
48,0.01593415,0.0005
72,0.0097119,0.00105
96,0.0070242,0.00075
168,0.0043963,0.00035
