"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.1123471,0.00505
24,0.0433435,0.00385
48,0.03092055,0.00235
72,0.02248885,0.0022
96,0.02059465,0.0017
168,0.01725285,0.0019
