"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.0314253,0.00495
24,0.01524125,0.0014
48,0.0127158,0.00155
72,0.0074017,0.0014
96,0.0056427,0.0008
168,0.0037398,0.0003
