"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.00278535,0.0001
24,0.0015522,0.0006
48,0.00109525,0.0001
72,0.0005979,0
96,0.00051705,0.0002
168,0.0004619,0.0001
