"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.02120345,0.0036
24,0.0257039,0.00415
48,0.0296118,0.00645
72,0.0264293,0.00455
96,0.02430865,0.0055
168,0.023014,0.007999999
