"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.00262015,0.0006
24,0.001889,0.0004
48,0.00163085,0.0004
72,0.00112155,0.00015
96,0.0016749,0.00035
168,0.00155575,0.00025
