"Time [h]","Measurement [mg/l]","Error [mg/l]"
4,0.0044267,0.00145
24,0.003745,0.00055
48,0.0033182,0.0009999999
72,0.0033027,0.00175
96,0.0023732,0.00065
168,0.00149665,0.0006
